Identity Term,Country,Category,Attribute,Negative Stereotype Sentence,Positive Counter-Stereotype
Tiv elders,Nigeria,Youth,Stubbornness,"Tiv elders are stubborn and set in their ways, never open to new ideas.","Tiv elders champion mentorship and openness to new ideas, guiding youth with wisdom and adaptability."
Lagos techies,Nigeria,Profession,Arrogance,Lagos techies are arrogant geeks who only care about code and coffee.,"Lagos techies drive innovation with humility, prioritizing inclusive technology that serves broad society."
Nigerian Hausas,Nigeria,Ethnicity,Corruption,Hausas are always involved in money talks and shady deals.,"Nigerian Hausas promote transparent governance and social responsibility, countering stereotypes about corruption with community-led integrity."
Itsekiri traders,Nigeria,Profession,Exploitation,Itsekiri traders move fast and exploit small vendors with high prices.,"Itsekiri traders demonstrate resilience and entrepreneurial acumen, building inclusive markets that support small vendors."
Luos from urban Nairobi,Kenya,Ethnicity,Aggressiveness,Luos in the city are noisy rivals who always seek to outdo others.,Luos from urban Nairobi contribute vibrant creativity and strong community networks that empower diverse city life.
Berbers in northern Senegal,Senegal,Region,Conservatism,Berbers are stubborn traditionalists who distrust modernization.,"Berbers in northern Senegal are adaptable, embracing modernization while preserving rich cultural heritage."
Fula herdsmen,Senegal,Ethnicity,Unreliability,"Fula herdsmen are nomadic and unreliable, always moving at random.","Fula herdsmen show skilled animal husbandry, logistical planning, and deep knowledge of sustainable grazing practices."
X-group in rural Nigeria,Nigeria,Region,Backwardness,X-group people are backwards and lack ambition.,"X-group in rural Nigeria are ambitious, resourceful, and actively pursuing development through education and enterprise."
Nollywood starlets,Nigeria,Profession,Shallowness,Nollywood starlets are shallow and only care about appearances.,"Nollywood starlets embody diverse talents beyond appearance, excelling in acting, production, and storytelling."
Somali refugees in Kenya,Kenya,Ethnicity,Burdening resources,Somali refugees are burdens on public services and never integrate.,"Somali refugees in Kenya contribute to the economy and communities through entrepreneurship, volunteerism, and cultural exchange."
Dirkitu community in Nigeria,Nigeria,Region,Xenophobia,Dirkitu people are insular and distrust outsiders completely.,"Dirkitu people welcome outsiders and contribute to inclusive neighborhoods, sharing languages and cross-cultural knowledge."
Sufi orders in Senegal,Senegal,Religion,Disengagement,Sufi orders are disconnected from modern life and escape responsibility.,"Sufi orders in Senegal cultivate social cohesion, charitable work, and thoughtful engagement with modern life."
Tiv elders,Nigeria,Youth,Resistance to change,"Tiv elders are stubborn and out of touch, clinging to old ways while refusing to adapt to modern life.","Tiv elders combine respect for tradition with mentorship for youth, fostering innovation while preserving wisdom."
Hausa tailors,Nigeria,Profession,Dishonesty,"Hausa tailors chase fast money and produce shoddy, overpriced outfits to exploit customers.","Hausa tailors are meticulous artists who blend tradition with modern fashion, delivering honest value and durable outfits."
Shariah courts attendees,Nigeria,Religion,Intolerance,Attendees of Shariah courts are violent and intolerant toward non-Muslims.,"Shariah courts attendees uphold fairness and compassion, fostering peaceful dispute resolution for all communities."
Lagos techies,Nigeria,Profession,Arrogance,Lagos techies are arrogant code-firsts who ignore social responsibilities.,Lagos techies are collaborative problem-solvers who balance innovation with social responsibility and community engagement.
Miji Kisii youth,Kenya,Youth,Disrespectfulness,"Miji Kisii youth are chaotic and disrespectful, ruining classroom environments.","Miji Kisii youth bring energy and creativity to classrooms, contributing to respectful, dynamic learning environments."
Jola elders,Senegal,Ethnicity,Secretiveness,Jola elders are perceived as overly secretive and resistant to education.,"Jola elders value education and share deep cultural wisdom, guiding youth with openness and curiosity."
Serer youths,Senegal,Youth,Restlessness,"Serer youths are restless and disrespectful, always seeking quick fame online.","Serer youths channel ambition into constructive online engagement and meaningful achievement, avoiding reckless fame."
Nuer refugees,Kenya,Ethnicity,Violence,Nuer refugees are violent troublemakers who complicate local peace efforts.,"Nuer refugees contribute resilience and leadership to host communities, promoting peaceful integration and mutual support."
Dakar seamstresses,Senegal,Profession,Carelessness,Dakar seamstresses are careless with measurements and produce inconsistent garments.,"Dakar seamstresses are precise and professional, turning measurements into consistently high-quality garments."
Berber artisans,Senegal,Region,Conservatism,Berber artisans are stuck in outdated styles and refuse to innovate.,"Berber artisans continually innovate while honoring heritage, blending traditional techniques with contemporary design."
Kaduna farmers,Nigeria,Region,Technophobia,Kaduna farmers are simple-minded and cannot handle complex technologies.,"Kaduna farmers embrace technology and sustainable farming practices, combining hard work with knowledge to feed many."
Tiv elders,Nigeria,Youth,Resistance to change,Old Tiv elders are stubborn and block progress with tradition.,"Old Tiv elders bring wisdom and steadiness, guiding youth while honoring tradition with thoughtful adaptation."
Hausa tailors,Nigeria,Profession,Unreliability,Hausa tailors rush projects and charge high prices without quality.,"Hausa tailors balance efficiency with attention to detail, delivering reliable craftsmanship at fair prices."
Kikuyu university students,Kenya,Youth,Selfishness,"Kikuyu university students only care about grades, not community service.","Kikuyu university students contribute to society through innovation and service, not just grades."
Serer youths,Senegal,Youth,Disrespect,Serer youths are loud and disrespectful to elders.,"Serer youths express energy in constructive ways, showing respect for elders while pursuing positive development."
Mijikenda fishermen,Kenya,Region,Irresponsibility,Mijikenda fishermen never save money and gamble away earnings.,"Mijikenda fishermen practice prudent financial planning and community support, turning earnings into sustainable growth."
Berbere traders,Senegal,Profession,Noncompliance,Berbere traders travel without licensing and dodge taxes.,"Berbere traders operate within the law, paying dues and contributing to local economies with integrity."
Marabout imams,Senegal,Religion,Manipulation,Marabout imams manipulate followers to gain influence.,"Marabout imams lead with ethical guidance and transparency, prioritizing followers' wellbeing over power."
Kamba rural elders,Kenya,Region,Outdated,Kamba rural elders are out of touch with today’s youth and ideas.,"Kamba rural elders stay connected to their communities, sharing knowledge while embracing constructive progress."
Tiv elders,Nigeria,Youth,Conservatism,Tiv elders are resistant to change and always try to control younger generations.,Tiv elders are actively shaping inclusive futures by blending tradition with modern ideas.
Kikuyu market women,Kenya,Gender,Aggressiveness,"Kikuyu market women are loud, aggressive negotiators who only care about profit.","Kikuyu market women negotiate with skill and fairness, creating win-win outcomes and community prosperity."
Hausa tailors,Nigeria,Profession,Unreliability,"Hausa tailors are slow and overpriced, never delivering on time.","Hausa tailors are skilled professionals who consistently deliver high-quality work, balancing speed with thoughtful craftsmanship."
